Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI limit,Upper CI limit,Count,Denominator,Value note
E07000034,Chesterfield,LA,Persons,60-74 yrs,,,2016,59.1524110389223,58.4065908649135,59.894040885503,9924,16777,
E07000035,Derbyshire Dales,LA,Persons,60-74 yrs,,,2016,65.1881993896236,64.4154271247709,65.9530598679568,9612,14745,
E07000036,Erewash,LA,Persons,60-74 yrs,,,2016,62.6483447845097,61.931218927212,63.3599539193602,11033,17611,
E07000037,High Peak,LA,Persons,60-74 yrs,,,2016,60.5050178051149,59.7315567133568,61.2732546095482,9345,15445,
E07000038,North East Derbyshire,LA,Persons,60-74 yrs,,,2016,63.9787516600266,63.2901947279565,64.6616047043684,12044,18825,
E07000039,South Derbyshire,LA,Persons,60-74 yrs,,,2016,62.2635180464243,61.4822991125562,63.0384176911567,9281,14906,
E07000040,East Devon,LA,Persons,60-74 yrs,,,2016,63.5275862068965,62.9718247987027,64.0797642507674,18423,29000,
E07000041,Exeter,LA,Persons,60-74 yrs,,,2016,58.952380952381,58.1820387204319,59.7183572393171,9285,15750,
E07000042,Mid Devon,LA,Persons,60-74 yrs,,,2016,61.5495967463983,60.7550079280263,62.3380705092895,8929,14507,
E07000043,North Devon,LA,Persons,60-74 yrs,,,2016,59.7693351424695,59.0446416910904,60.4897861300278,10572,17688,
E07000044,South Hams,LA,Persons,60-74 yrs,,,2016,66.1824007070651,65.4898793854195,66.8680556709224,11981,18103,
E07000045,Teignbridge,LA,Persons,60-74 yrs,,,2016,64.2322539982668,63.6405198329743,64.819681510621,16306,25386,
E07000046,Torridge,LA,Persons,60-74 yrs,,,2016,61.0783184566657,60.2645784322305,61.8859333530502,8485,13892,
E07000047,West Devon,LA,Persons,60-74 yrs,,,2016,63.4330321901588,62.5445908288165,64.3124243349588,7232,11401,
E07000048,Christchurch,LA,Persons,60-74 yrs,,,2016,66.0834181078332,65.1414096139854,67.0128610567479,6496,9830,
E07000049,East Dorset,LA,Persons,60-74 yrs,,,2016,67.5935828877005,66.9192247890144,68.2607141261376,12640,18700,
E07000050,North Dorset,LA,Persons,60-74 yrs,,,2016,65.6011378948945,64.7911826090737,66.4021226912862,8763,13358,
E07000051,Purbeck,LA,Persons,60-74 yrs,,,2016,66.7880865652453,65.8258958736242,67.7364644836462,6234,9334,
